Slug,H1,Short Description,Meta Title,Meta Description
addison-road,Addison Road-Seat Pleasant,Servicing Addison Road & Seat Pleasant.,Addison Road: Next Arrivals & Fares | NextMetro,"Blue and Silver Line arrivals for Addison Road-Seat Pleasant Metro station in Capitol Heights, MD. Fares, parking, elevator status, and alerts."
anacostia,Anacostia,Serving the Anacostia neighborhood & the Anacostia River waterfront.,Anacostia: Next Arrivals & Fares | NextMetro,"Live Green Line arrivals for Anacostia Metro station in Southeast Washington, DC. Real-time train fares, elevator status, hours, and service alerts."
archives,Archives-Navy Memorial-Penn Quarter,"Servicing the National Archives, Navy Memorial & Penn Quarter.",Archives-Penn Quarter: Next Arrivals & Fares | NextMetro,"Next arrivals for Archives-Navy Memorial-Penn Quarter on the Green and Yellow lines. Fares, elevator status, and alerts."
arlington-cemetery,Arlington Cemetery Metro Station,Blue Line · Serving Arlington National Cemetery.,Arlington Cemetery: Next Arrivals & Fares | NextMetro,"Blue Line arrivals for Arlington Cemetery Metro station in Arlington, VA. Fares, elevator status, and service alerts."
ashburn,Ashburn,Silver Line · Serving Ashburn & the Silver Line western terminus.,Ashburn: Next Arrivals & Fares | NextMetro,"Silver Line arrivals for Ashburn Metro station in Ashburn, VA. Check real-time fares, parking, elevator status, and alerts."
ballston,Ballston-MU Metro Station,Orange & Silver Lines · Serving Ballston & Marymount University.,Ballston-MU: Next Arrivals & Fares | NextMetro,"Orange and Silver Line arrivals for Ballston-MU Metro station in Arlington, VA. Fares, elevator status, and service alerts."
benning-road,Benning Road,Servicing Benning Road & H Street NE corridor.,Benning Road: Next Arrivals & Fares | NextMetro,"Blue and Silver Line arrivals for Benning Road Metro station in Washington, DC. Fares, elevator status, and alerts."
bethesda,Bethesda,Servicing Downtown Bethesda & NIH campus access.,Bethesda: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Bethesda Metro station in Bethesda, MD. Live train times, fares, elevator status, and service alerts."
braddock-road,Braddock Road Metro Station,Blue & Yellow Lines · Serving Braddock Road & North Old Town.,Braddock Road: Next Arrivals & Fares | NextMetro,"Blue and Yellow Line arrivals for Braddock Road Metro station in Alexandria, VA. Fares, elevator status, and service alerts."
branch-ave,Branch Ave,Southern terminus of the Green Line in Prince George's County.,Branch Ave: Next Arrivals & Fares | NextMetro,"Green Line arrivals for Branch Ave Metro station in Suitland, MD. Check real-time train fares, parking info, elevator status, and service alerts."
brookland-cua,Brookland-CUA,"Servicing Brookland, Edgewood & Catholic University of America.",Brookland-CUA: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Brookland-CUA Metro station in DC. Fares, elevator status, and alerts near Catholic University."
capitol-heights,Capitol Heights,Servicing Capitol Heights & Prince George's County.,Capitol Heights: Next Arrivals & Fares | NextMetro,"Blue and Silver Line arrivals for Capitol Heights Metro station in Capitol Heights, MD. Fares, parking, elevator status, and alerts."
capitol-south,Capitol South,Servicing Capitol South & the U.S. Capitol.,Capitol South: Next Arrivals & Fares | NextMetro,"Orange, Blue, and Silver Line arrivals for Capitol South Metro station in DC. Fares, elevator status, and alerts."
cheverly,Cheverly,Servicing Cheverly & Tuxedo.,Cheverly: Next Arrivals & Fares | NextMetro,"Orange Line arrivals for Cheverly Metro station in Cheverly, MD. Fares, parking, elevator status, and alerts."
clarendon,Clarendon Metro Station,Orange & Silver Lines · Serving Clarendon & the Wilson Boulevard corridor.,Clarendon: Next Arrivals & Fares | NextMetro,"Orange and Silver Line arrivals for Clarendon Metro station in Arlington, VA. Fares, elevator status, and service alerts."
cleveland-park,Cleveland Park,Servicing Cleveland Park & Connecticut Avenue.,Cleveland Park: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Cleveland Park Metro station in Washington, DC. Fares, elevator status, and service alerts."
